"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"CU","2016-07-19","76.8","0.5508","7.0235","Brandon Barnes",488681,605483,"strikeout","swinging_strike_blocked",,,,,13,"Brandon Barnes strikes out swinging.  ","R","R","L","COL","TB","S",2,"null",1,2,2016,"-0.32065833333333333333","-0.61986666666666666667","-0.1930","-1.4790","null","null","null",2,5,"Bot","null","null",,,571912,,"160719_222038","-1.6740","-111.5410","-8.9170","-1.7480","18.3530","-39.3770","3.5200","1.6200","null","null","null","76.8270","2346","6.1070",448271,605483,571912,456665,523253,446334,543543,572816,595281,542455,"54.3929","null","null","0.00",1,0,0,"null",43,"4","Curveball",0,7,0,7,7,0,0,7,"Standard","Standard"
"KC","2016-07-21","82.8","-1.5530","6.1715","Scooter Gennett",571697,453343,"strikeout","swinging_strike_blocked",,,,,14,"Scooter Gennett strikes out swinging, catcher Eric Fryer to first baseman Sean Rodriguez.  ","R","L","R","PIT","MIL","S",2,"null",1,2,2016,"0.41414166666666666667","-1.0785333333333333","0.9930","-1.1620","null","null","null",2,9,"Top","null","null",,,518700,,"160721_215744","4.0790","-120.2670","-7.8210","5.6640","25.5880","-45.0230","3.2400","1.4800","null","null","null","82.1600","2933","6.3020",448294,453343,518700,446481,543281,501896,474568,516782,457705,570256,"54.1961","null","null","0.00",1,0,0,"null",69,"6","Knuckle Curve",5,3,3,5,3,5,3,5,"Standard","Standard"
"CU","2016-05-15","78.2","-0.8782","6.1734","James McCann",543510,605164,"strikeout","swinging_strike_blocked",,,,,14,"James McCann strikes out swinging.  ","R","R","R","BAL","DET","S",2,"null",0,2,2016,"0.09127500000000000000","-0.87786666666666666667","1.7370","-1.1550","null","null","null",2,9,"Top","null","null",,,446308,,"160515_170629","5.0490","-113.6970","-6.5170","2.0430","24.1020","-41.7730","3.4600","1.5700","null","null","null","77.3040","2428","5.8820",447424,605164,446308,448801,570731,475247,592518,460099,430945,572073,"54.6162","null","null","0.00",1,0,0,"null",80,"3","Curveball",5,6,6,5,6,5,6,5,"Standard","Standard"
"SL","2016-06-27","83.3","-1.7504","6.7221","Willson Contreras",575929,456027,"strikeout","swinging_strike_blocked",,,,,14,"Willson Contreras strikes out swinging, catcher Tucker Barnhart to first baseman Joey Votto.  ","R","R","R","CIN","CHC","S",2,"null",1,2,2016,"0.16225000000000000000","0.46373333333333333333","0.2700","-1.0300","null","null","null",2,8,"Top","null","null",,,571466,,"160627_215826","4.5700","-120.6700","-11.6500","3.0700","25.5800","-29.4100","3.3600","1.5400","null","null","null","81.0910","null","5.4880",448006,456027,571466,458015,606299,553993,446359,594807,571740,457803,"55.0107","null","null","0.00",1,0,0,"null",75,"4","Slider",7,10,10,7,10,7,10,7,"Standard","Standard"
"CU","2016-06-22","80.4","2.5843","6.2725","Jarrod Saltalamacchia",457454,543557,"strikeout","swinging_strike_blocked",,,,,13,"Jarrod Saltalamacchia strikes out swinging, catcher Steve Clevenger to first baseman Dae-Ho Lee.  ","R","R","L","DET","SEA","S",2,"null",1,2,2016,"-0.50992500000000000000","-0.70873333333333333333","-1.5540","-0.9780","null","null","null",2,7,"Bot","null","null",,,502182,,"160622_213447","-7.8530","-116.5410","-7.5530","-3.6930","25.2560","-40.6780","3.5800","1.6300","null","null","null","79.7770","2495","6.5850",447947,543557,502182,493193,429664,572122,606466,493114,547982,429711,"53.9168","null","null","0.00",1,0,0,"null",62,"4","Curveball",5,1,5,1,1,5,5,1,"Standard","Standard"
"CU","2016-09-09","87.1","-1.9141","6.0606","Jose Abreu",547989,570649,"strikeout","swinging_strike_blocked",,,,,14,"Jose Abreu strikes out swinging.  ","R","R","R","CWS","KC","S",2,"null",1,2,2016,"0.24018333333333333333","-1.1803000000000000","1.2550","-0.9810","null","null","null",2,1,"Bot","null","null",,,460077,,"160909_193353","6.7150","-126.4720","-6.6980","4.2310","30.2560","-47.4010","3.5200","1.5700","null","null","null","84.1250","2787","5.0360",448967,570649,460077,543333,609275,596144,444876,460086,449181,456715,"55.4661","null","null","0.00",1,0,0,"null",10,"4","Curveball",1,2,1,2,2,1,1,2,"Standard","Standard"
"CU","2016-05-15","83.3","-1.8680","5.9926","Andrew McCutchen",457705,518748,"strikeout","swinging_strike_blocked",,,,,14,"Andrew McCutchen strikes out swinging, catcher Miguel Montero to first baseman Anthony Rizzo.  ","R","R","R","CHC","PIT","S",2,"null",0,2,2016,"1.0348250000000000","-0.82053333333333333333","2.1770","-0.9830",543281,570256,474568,2,9,"Top","null","null",,,471083,,"160515_160158","6.0700","-120.9650","-7.4890","12.0210","30.2660","-42.3350","3.5200","1.6100","null","null","null","82.5280","2351","6.5790",447431,518748,471083,519203,450314,595879,608365,592178,451594,518792,"53.9201","null","null","0.00",1,0,0,"null",65,"3","Curveball",0,2,2,0,2,0,2,0,"Standard","Standard"
"SL","2016-09-12","81.6","-1.4595","6.1287","Christian Yelich",592885,592314,"strikeout","swinging_strike_blocked",,,,,14,"Christian Yelich strikes out swinging.  ","R","L","R","ATL","MIA","S",2,"null",1,2,2016,"-0.06876666666666666667","-0.03363333333333333333","0.1800","-0.9500",400085,"null","null",2,1,"Top","null","null",,,452095,,"160912_191551","3.8400","-118.5000","-8.4800","0.6200","23.7600","-34.4100","3.5800","1.7200","null","null","null","79.9260","2627","5.4780",449011,592314,452095,518692,607054,611177,621020,461314,542255,455976,"55.0202","null","null","0.00",1,0,0,"null",4,"4","Slider",0,0,0,0,0,0,0,0,"Standard","Standard"
"SL","2016-04-17","84.7","-1.5341","7.0424","Matt Holliday",407812,456027,"strikeout","swinging_strike_blocked",,,,,14,"Matt Holliday strikes out swinging.  ","R","R","R","STL","CIN","S",2,"null",2,2,2016,"0.04535000000000000000","0.12403333333333333333","0.6830","-0.9170","null",518700,"null",2,8,"Bot","null","null",,,519023,,"160417_155321","4.9820","-122.8230","-11.0440","1.9310","23.8210","-32.9090","3.7800","1.9000","null","null","null","82.3330","null","5.1510",447041,456027,519023,458015,408252,553993,446359,594807,594988,457803,"55.3509","null","null","0.00",1,0,0,"null",67,"5","Slider",4,3,4,3,3,4,4,3,"Standard","Standard"
"CU","2016-06-06","78.0","2.6931","5.9071","Freddy Galvis",520471,452657,"strikeout","swinging_strike_blocked",,,,,13,"Freddy Galvis strikes out swinging.  ","R","R","L","PHI","CHC","S",2,"null",1,2,2016,"-1.06520000000000000000","0.13693333333333333333","-1.4920","-0.8640","null","null","null",2,3,"Bot","null","null",,,424325,,"160606_201620","-6.5550","-113.2980","-7.1210","-8.5770","24.2450","-32.6630","3.3000","1.5000","null","null","null","76.8110","2663","6.2090",447725,452657,424325,519203,595879,592178,608365,519333,451594,518792,"54.2900","null","null","0.00",1,0,0,"null",27,"4","Curveball",0,1,0,1,1,0,0,1,"Standard","Standard"
"SL","2016-06-10","86.1","-0.6454","5.5115","Tyler Holt",534627,543243,"strikeout","swinging_strike_blocked",,,,,14,"Tyler Holt strikes out swinging, catcher Stephen Vogt to first baseman Yonder Alonso.  ","R","R","R","CIN","OAK","S",2,"null",1,2,2016,"0.9805500000000000","-0.34896666666666666667","1.7400","-0.8450","null",553993,"null",2,7,"Bot","null","null",,,519390,,"160610_212612","3.8300","-125.0980","-7.6190","12.5950","26.0450","-38.1460","3.1800","1.4500","null","null","null","84.9140","3250","5.9470",447782,543243,519390,475174,476704,502143,543760,501981,424825,571970,"54.5515","null","null","0.00",1,0,0,"null",56,"4","Slider",2,1,2,1,1,2,2,1,"Standard","Standard"
"SL","2016-09-03","87.5","-1.9247","5.7647","Ben Gamel",592325,572308,"strikeout","swinging_strike_blocked",,,,,13,"Ben Gamel strikes out swinging, pitcher Jose Valdez to first baseman C.   Cron.  ","R","L","R","SEA","LAA","S",1,"null",1,2,2016,"0.28889166666666666667","-0.00640000000000000000","-0.0690","-0.7570","null","null","null",2,9,"Bot","null","null",,,542208,,"160903_210841","3.3390","-127.0790","-8.9290","4.8250","30.6180","-34.4180","3.4700","1.5700","null","null","null","85.8410","null","5.7680",448885,572308,542208,543068,460060,592230,592743,542364,545361,594777,"54.7340","null","null","0.00",1,0,0,"null",81,"4","Slider",3,10,3,10,10,3,3,10,"Standard","Standard"
"CU","2016-09-13","83.1","-0.7788","6.0001","Tyler Saladino",573135,545333,"strikeout","swinging_strike_blocked",,,,,14,"Tyler Saladino strikes out swinging, catcher Roberto Perez to first baseman Carlos Santana.  ","R","R","R","CWS","CLE","S",2,"null",0,2,2016,"0.49625000000000000000","-1.3566000000000000","1.1040","-0.7140","null","null",570560,2,5,"Bot","null","null",,,547379,,"160913_203226","3.1690","-120.7950","-5.0580","6.4440","30.5000","-47.6350","3.2700","1.4200","null","null","null","81.5510","2708","6.1880",449023,545333,547379,467793,543401,608070,596019,446386,434658,501659,"54.3138","null","null","0.00",1,0,0,"null",39,"3","Curveball",1,1,1,1,1,1,1,1,"Standard","Standard"
"CU","2016-09-23","83.0","null","null","Jayson Werth",150029,592791,"strikeout","swinging_strike_blocked",,,,,14,"Jayson Werth strikes out swinging.  ","R","R","R","PIT","WSH","S",2,"null",1,2,2016,"0.68273333333333333333","-0.75890000000000000000","0.9360","-0.6710","null",461829,"null",2,2,"Top","null","null",,,"null",,"160923_194716","4.3230","-120.5320","-7.6550","8.4790","26.2550","-41.8170","3.7000","1.6700","null","null","null","null","null","null",449170,592791,"null","null","null","null","null","null","null","null","null","null","null","0.00",1,0,0,"null",15,"4","Curveball",0,3,3,0,3,0,3,0,"null","null"
"CU","2016-08-03","83.0","-2.2224","5.7025","Wilmer Difo",594694,643327,"strikeout","swinging_strike_blocked",,,,,14,"Wilmer Difo strikes out swinging, catcher Tuffy Gosewisch to first baseman Paul Goldschmidt.  ","R","L","R","ARI","WSH","S",2,"null",0,2,2016,"0.32925000000000000000","-0.67863333333333333333","0.4320","-0.6440","null","null","null",2,4,"Top","null","null",,,488912,,"160803_133427","4.3150","-120.6900","-6.0830","4.8320","25.0950","-41.0740","3.1300","1.3800","null","null","null","82.3580","2280","5.9060",448475,643327,488912,502671,592273,571875,572008,630111,456422,444482,"54.5952","null","null","0.00",1,0,0,"null",26,"3","Curveball",0,1,1,0,1,0,1,0,"Standard","Standard"
"SL","2016-08-13","83.1","-2.0595","6.0898","Melky Cabrera",466320,607457,"strikeout","swinging_strike_blocked",,,,,14,"Melky Cabrera strikes out swinging.  Wild pitch by pitcher Kyle Barraclough.   Dioner Navarro scores.    Justin Morneau to 3rd.    Melky Cabrera to 1st.  ","R","L","R","MIA","CWS","S","null","null",2,2,2016,"0.89983333333333333333","-0.17983333333333333333","0.4320","-0.6340",425900,408047,"null",2,8,"Top","null","null",,,592663,,"160813_220258","3.4840","-120.7630","-7.6520","10.6740","28.5430","-35.9240","3.3700","1.6200","64","56.0","14","81.7420","2633","5.8740",448600,607457,592663,500743,543829,445988,588751,592885,542303,519317,"54.6264","null","null","0.00",1,0,0,"null",73,"5","Slider",7,7,7,7,7,7,7,7,"Standard","Standard"
"CU","2016-06-17","83.7","-3.5528","6.3774","Andrew McCutchen",457705,453562,"strikeout","swinging_strike_blocked",,,,,14,"Andrew McCutchen strikes out swinging, catcher Miguel Montero to first baseman Anthony Rizzo.  ","R","R","R","CHC","PIT","S",2,"null",1,2,2016,"0.05230833333333333333","-1.0154666666666667","0.8430","-0.6300","null","null","null",2,1,"Top","null","null",,,471083,,"160617_133041","8.6450","-121.4190","-7.1030","1.8990","29.3640","-44.4370","3.4700","1.6300","null","null","null","82.1420","2775","6.0230",447876,453562,471083,519203,450314,595879,608365,519333,451594,546991,"54.4770","null","null","0.00",1,0,0,"null",3,"5","Curveball",0,0,0,0,0,0,0,0,"Standard","Standard"
"CU","2016-08-22","81.0","-1.6923","6.3202","Jose Altuve",514888,592791,"strikeout","swinging_strike_blocked",,,,,14,"Jose Altuve strikes out swinging.  ","R","R","R","PIT","HOU","S",2,"null",0,2,2016,"0.73283333333333333333","-0.83916666666666666667","1.7900","-0.6000","null","null","null",2,1,"Top","null","null",,,465041,,"160822_191503","5.3800","-117.6400","-6.9500","8.5700","25.1400","-42.1200","2.9800","1.3500","null","null","null","80.3320","2518","6.3320",448727,592791,465041,605137,543281,501896,474568,516782,457705,570256,"54.1666","null","null","0.00",1,0,0,"null",3,"3","Curveball",0,0,0,0,0,0,0,0,"Standard","Standard"
"CU","2016-07-07","80.9","-2.8728","6.5047","Bartolo Colon",112526,608337,"strikeout","swinging_strike_blocked",,,,,13,"Bartolo Colon strikes out swinging.  ","R","R","R","NYM","WSH","S",2,"null",1,2,2016,"0.58253333333333333333","-1.1272666666666667","-0.2490","-0.5650","null","null",518595,2,2,"Bot","null","null",,,467092,,"160707_194527","3.6570","-117.5240","-6.2740","7.1220","23.5310","-44.9760","2.9400","1.5200","null","null","null","81.1600","2479","6.8640",448156,608337,467092,519208,502517,543685,457787,150029,519184,547180,"53.6342","null","null","0.00",1,0,0,"null",17,"4","Curveball",0,1,0,1,1,0,0,1,"Standard","Strategic"
"KC","2016-07-15","84.5","-1.4551","5.5394","Matt Garza",490063,543101,"strikeout","swinging_strike_blocked",,,,,14,"Matt Garza strikes out swinging, catcher Tucker Barnhart to first baseman Joey Votto.  ","R","R","R","CIN","MIL","S",2,"null",1,2,2016,"0.41414166666666666667","-0.71016666666666666667","0.8710","-0.5740","null","null","null",2,2,"Top","null","null",,,571466,,"160715_194249","4.9480","-122.8390","-5.8530","6.0550","21.0820","-41.9430","3.7000","1.6200","null","null","null","84.3990","2205","6.2090",448212,543101,571466,458015,408252,553993,446359,594807,571740,457803,"54.2899","null","null","0.00",1,0,0,"null",12,"4","Knuckle Curve",0,1,1,0,1,0,1,0,"Standard","Standard"
"CU","2016-09-13","77.7","1.8836","5.8159","Francisco Lindor",596019,500779,"strikeout","swinging_strike_blocked",,,,,13,"Francisco Lindor strikes out swinging, catcher Alex Avila to first baseman Todd Frazier.  ","R","R","L","CWS","CLE","S",2,"null",1,2,2016,"-0.48905000000000000000","-0.29593333333333333333","-1.1370","-0.5610",543401,"null","null",2,5,"Top","null","null",,,488671,,"160913_202349","-5.2160","-112.9140","-5.3040","-3.3090","21.9870","-36.5390","3.2400","1.5200","null","null","null","76.9760","2050","6.2640",449023,500779,488671,453943,573135,570560,641313,466320,594809,541645,"54.2376","null","null","0.00",1,0,0,"null",35,"4","Curveball",1,1,1,1,1,1,1,1,"Standard","Standard"
"KC","2016-05-24","79.6","3.0473","6.3807","Nolan Arenado",571448,456034,"strikeout","swinging_strike_blocked",,,,,13,"Nolan Arenado strikes out swinging.  ","R","R","L","BOS","COL","S",2,"null",1,2,2016,"-0.69780000000000000000","-0.18413333333333333333","-1.0980","-0.5520","null","null","null",2,3,"Top","null","null",,,543877,,"160524_200634","-7.4470","-115.4150","-7.3920","-5.3410","27.3780","-35.6120","3.4200","1.5900","null","null","null","76.4560","2395","5.0420",447545,456034,543877,434670,456030,592710,593428,455759,598265,605141,"55.4562","null","null","0.00",1,0,0,"null",25,"4","Knuckle Curve",4,2,2,4,2,4,2,4,"Standard","Standard"
"CU","2016-07-21","74.3","-1.3199","6.3503","Derek Norris",519083,425794,"strikeout","swinging_strike_blocked",,,,,14,"Derek Norris strikes out swinging.  ","R","R","R","STL","SD","S",2,"null",1,2,2016,"0.88035000000000000000","-1.1975000000000000","0.9490","-0.5280","null","null","null",2,2,"Top","null","null",,,425877,,"160721_183747","2.8850","-108.1680","-3.5820","8.4300","22.3070","-43.4260","3.2800","1.4800","null","null","null","73.4020","2811","6.3250",448296,425794,425877,571431,594824,576397,649557,407812,545341,502054,"54.1772","null","null","0.00",1,0,0,"null",10,"4","Curveball",0,0,0,0,0,0,0,0,"Standard","Standard"
