"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"CU","2018-05-16","80.7","-2.0729","5.6252","Jedd Gyorko",576397,458681,"strikeout","swinging_strike_blocked",,,,,14,"Jedd Gyorko strikes out swinging.  ","R","R","R","MIN","STL","S",2,"null",0,2,2018,"0.5317","-1.0546","1.3963","-1.2024","null","null","null",1,3,"Top","null","null",,,641598,,"180516_182725","6.6713","-117.2980","-6.5145","3.6239","21.5644","-40.8249","2.9869","1.1582","null","null","null","80.2110","2296","5.9530",530049,458681,641598,489149,572821,463610,501303,592696,621439,596146,"54.5469","null","null","0.00",1,0,0,"null",26,"3","Curveball",2,3,3,2,3,2,3,2,"Standard","Standard"
"CU","2018-06-18","83.0","-1.8414","5.8377","Adam Eaton",594809,543243,"strikeout","swinging_strike_blocked",,,,,14,"Adam Eaton strikes out swinging.  ","R","L","R","WSH","NYY","S",2,"null",1,2,2018,"1.1041","-1.0922","1.2332","-1.1409","null","null","null",0,1,"Bot","null","null",,,519222,,"180618_230009","4.8611","-120.4928","-7.2443","9.4940","25.1739","-41.3151","2.9385","1.2110","null","null","null","81.9000","2830","5.8500",530046,543243,519222,595885,650402,609280,544369,519317,543305,592450,"54.6492","null","null","0.00",1,0,0,"null",6,"4","Curveball",0,1,0,1,1,0,0,1,"Standard","Standard"
"SL","2018-05-13","81.7","-1.4846","6.1258","Joey Wendle",621563,605164,"strikeout","swinging_strike_blocked",,,,,14,"Joey Wendle strikes out swinging, catcher Caleb Joseph to first baseman Trey Mancini.  ","R","L","R","BAL","TB","S",2,"null",1,2,2018,"0.2369","-0.1638","0.6994","-1.0843","null","null","null",0,4,"Top","null","null",,,543376,,"180513_181025","4.3818","-118.3909","-9.0740","1.2543","23.9934","-32.0988","3.0994","1.3615","null","null","null","79.7930","2470","5.3450",530014,605164,543376,641820,570731,502143,592518,502226,430945,572073,"55.1557","null","null","0.00",1,0,0,"null",29,"4","Slider",4,0,0,4,0,4,0,4,"Standard","Standard"
"KC","2018-06-27","79.9","0.3570","6.7729","Jose Ramirez",608070,596295,"strikeout","swinging_strike_blocked",,,,,13,"Jose Ramirez strikes out swinging.  ","R","R","L","STL","CLE","S",2,"null",2,2,2018,"-0.2855","-0.9821","-0.4193","-0.9461","null","null","null",0,5,"Top","null","null",,,425877,,"180628_014315","-1.1727","-116.1848","-8.4162","-2.3620","21.9063","-39.6881","3.1845","1.3563","null","null","null","79.8950","2336","6.3380",530602,596295,425877,500874,543939,572761,594824,542303,502054,451594,"54.1605","null","null","0.00",1,0,0,"null",39,"5","Knuckle Curve",1,4,4,1,4,1,4,1,"Standard","Standard"
"CU","2018-06-28","74.6","0.8948","6.2859","Kyle Schwarber",656941,477132,"strikeout","swinging_strike_blocked",,,,,13,"Kyle Schwarber strikes out swinging, catcher Austin Barnes to first baseman Max Muncy.  ","R","L","L","LAD","CHC","S",2,"null",2,2,2018,"-0.3901","-1.3547","-0.6661","-0.9361","null","null","null",1,5,"Top","null","null",,,605131,,"180628_203031","-2.5138","-108.4931","-5.2795","-2.5963","18.5816","-42.0200","3.0899","1.2721","null","null","null","73.9720","2569","5.8040",530614,477132,605131,571970,523253,457759,621035,571771,641355,461314,"54.6949","null","null","0.00",1,0,0,"null",39,"5","Curveball",3,1,1,3,1,3,1,3,"Infield shift","Standard"
"KC","2018-05-27","81.5","-2.2690","6.1753","Matt Harvey",518774,608566,"strikeout","swinging_strike_blocked",,,,,14,"Matt Harvey strikes out swinging, catcher Tony Wolters to first baseman Ian Desmond.  ","R","R","R","COL","CIN","S",2,"null",0,2,2018,"0.1467","-0.7208","0.7208","-0.9308","null","null","null",1,2,"Top","null","null",,,547172,,"180527_193201","6.2641","-118.2022","-7.8290","0.1572","21.7760","-37.4553","3.1838","1.5084","null","null","null","79.3470","2678","4.9050",530188,608566,547172,435622,641857,571448,596115,621311,453568,471865,"55.5970","null","null","0.00",1,0,0,"null",14,"3","Knuckle Curve",3,1,1,3,1,3,1,3,"Standard","Standard"
"KC","2018-08-24","83.3","-1.5391","6.3927","Elvis Andrus",462101,453343,"strikeout","swinging_strike_blocked",,,,,14,"Elvis Andrus strikes out swinging.  ","R","R","R","SF","TEX","S",2,"null",1,2,2018,"0.1309","-1.5745","0.9039","-0.9199","null","null","null",1,8,"Top","null","null",,,457763,,"180825_044731","5.2769","-120.8739","-7.0881","0.0461","27.2741","-45.7411","3.3864","1.5784","null","null","null","81.5520","2732","5.6220",531340,453343,457763,474832,605412,446334,543063,491676,621453,457705,"54.8759","null","null","0.00",1,0,0,"null",65,"4","Knuckle Curve",6,3,3,6,3,6,3,6,"Standard","Standard"
"SL","2018-04-10","79.1","3.3315","5.1450","Shane Robinson",453203,519242,"strikeout","swinging_strike_blocked",,,,,13,"Shane Robinson strikes out swinging, catcher Christian Vazquez to first baseman Hanley Ramirez.  ","R","R","L","BOS","NYY","S",2,"null",0,2,2018,"-1.7019","-0.5884","-1.5651","-0.8967","null","null","null",0,5,"Top","null","null",,,543877,,"180411_004255","-7.4631","-114.7389","-5.0606","-12.8062","25.5400","-36.3484","2.8693","1.1215","null","null","null","77.3480","2614","5.6830",529568,519242,543877,434670,456488,646240,571788,643217,598265,605141,"54.8172","null","null","0.00",1,0,0,"null",40,"3","Slider",5,0,0,5,0,5,0,5,"Standard","Strategic"
"KC","2018-07-14","84.6","-2.3497","5.6908","Niko Goodrum",592348,543037,"strikeout","swinging_strike_blocked",,,,,14,"Niko Goodrum strikes out swinging, catcher Tim Federowicz to first baseman Yuli Gurriel.  ","R","L","R","HOU","DET","S",2,"null",0,2,2018,"0.9559","-1.2614","1.2508","-0.8288","null","null","null",1,1,"Top","null","null",,,543148,,"180714_201256","6.4233","-122.6132","-6.1271","7.7136","29.0081","-43.2164","3.6528","1.3887","null","null","null","82.4390","2951","5.5210",530829,543037,543148,493329,514888,608324,503556,663656,543807,502210,"54.9809","null","null","0.00",1,0,0,"null",2,"5","Knuckle Curve",0,0,0,0,0,0,0,0,"Infield shift","Standard"
"CU","2018-03-31","85.5","-0.3612","6.2162","Tim Beckham",542921,519151,"strikeout","swinging_strike_blocked",,,,,14,"Tim Beckham strikes out swinging, catcher Jason Castro to first baseman Joe Mauer.  ","R","R","R","BAL","MIN","S",2,"null",1,2,2018,"1.9004","-0.8204","1.7741","-0.8234","null","null","null",1,7,"Bot","null","null",,,488771,,"180401_011503","1.3220","-123.9895","-8.3760","18.2909","29.2469","-38.5512","3.3930","1.3835","null","null","null","82.9730","3292","5.2130",529438,519151,488771,408045,572821,593934,501303,592696,621439,596146,"55.2877","null","null","0.00",1,0,0,"null",57,"4","Curveball",0,6,0,6,6,0,0,6,"Standard","Standard"
"CU","2018-06-26","80.8","-1.8560","5.6083","Jose Abreu",547989,458681,"strikeout","swinging_strike_blocked",,,,,14,"Jose Abreu strikes out swinging.  ","R","R","R","CWS","MIN","S",2,"null",0,2,2018,"0.8036","-1.0259","1.8080","-0.8097","null","null","null",1,5,"Bot","null","null",,,641598,,"180627_034155","6.5921","-117.4337","-5.6564","6.0255","22.4623","-40.6400","3.3808","1.4015","null","null","null","79.9520","2314","5.7940",530591,458681,641598,408045,572821,500871,501303,592696,596146,595909,"54.7054","null","null","0.00",1,0,0,"null",42,"3","Curveball",2,4,2,4,4,2,2,4,"Standard","Standard"
"KC","2018-09-30","87.6","-2.8371","4.9274","Kyle Higashioka",543309,518886,"strikeout","swinging_strike_blocked",,,,,14,"Kyle Higashioka strikes out swinging, catcher Sandy Leon to first baseman Sam Travis.  ","R","R","R","BOS","NYY","S",2,"null",0,2,2018,"1.0473","-1.1652","0.9667","-0.6803","null","null","null",1,9,"Top","null","null",,,506702,,"180930_222430","6.9888","-127.2067","-4.9105","9.5187","28.7718","-43.6747","3.4110","1.5650","null","null","null","86.4120","2685","5.8810",531831,518886,506702,607752,408252,646240,624407,596119,598265,571788,"54.6199","null","null","0.00",1,0,0,"null",75,"3","Knuckle Curve",10,2,2,10,2,10,2,10,"Standard","Standard"
"CH","2018-04-25","80.3","-1.7430","6.1237","Jose Altuve",514888,607374,"strikeout","swinging_strike_blocked",,,,,14,"Jose Altuve strikes out swinging.  ","R","R","R","HOU","LAA","S",2,"null",1,2,2018,"-1.1892","-0.3335","0.2043","-0.6465","null","null","null",1,1,"Bot","null","null",,,425784,,"180425_182249","6.3290","-116.2291","-7.3348","-11.6625","25.6082","-33.7522","2.7958","1.1282","null","null","null","77.9360","2649","5.3190",529765,607374,425784,472528,435079,446359,592743,457708,545361,594777,"55.1833","null","null","0.00",1,0,0,"null",5,"4","Changeup",0,0,0,0,0,0,0,0,"Standard","Standard"
"SL","2018-05-25","78.6","1.0079","6.2071","Jose Ramirez",608070,572971,"strikeout","swinging_strike_blocked",,,,,13,"Jose Ramirez strikes out swinging.  ","R","R","L","CLE","HOU","S",2,"null",0,2,2018,"-0.9547","-0.3294","-0.4965","-0.6538","null","null","null",0,6,"Bot","null","null",,,545358,,"180526_005519","-1.5110","-114.1856","-7.2693","-7.8186","22.8979","-33.7865","3.2273","1.3980","null","null","null","77.4160","2230","5.7400",530159,572971,545358,493329,514888,608324,621043,503556,643393,543807,"54.7597","null","null","0.00",1,0,0,"null",43,"3","Slider",1,0,1,0,0,1,1,0,"Standard","Standard"
"CU","2018-04-10","81.4","1.4442","6.7535","Jose Abreu",547989,605483,"strikeout","swinging_strike_blocked",,,,,13,"Jose Abreu strikes out swinging, catcher Wilson Ramos to first baseman C.   Cron.  ","R","R","L","CWS","TB","S",2,"null",0,2,2018,"-0.7584","-0.8519","-0.5173","-0.6089","null","null","null",1,6,"Bot","null","null",,,467092,,"180410_202601","-2.9392","-118.2148","-8.0851","-6.2608","27.6172","-38.3630","3.4817","1.5840","null","null","null","80.3290","2573","6.1830",529572,605483,467092,543068,621563,622110,588751,452655,460576,605480,"54.3166","null","null","0.00",1,0,0,"null",54,"4","Curveball",1,5,1,5,5,1,1,5,"Standard","Standard"
"SL","2018-09-11","80.3","-1.9361","5.6197","Ronny Rodriguez",500135,543521,"strikeout","swinging_strike_blocked",,,,,14,"Ronny Rodriguez strikes out swinging, catcher Brian McCann to first baseman Yuli Gurriel.  ","R","R","R","DET","HOU","S",2,"null",0,2,2018,"1.4227","-0.7324","0.8110","-0.5946","null","null","null",1,8,"Bot","null","null",,,435263,,"180912_015220","3.3956","-116.6697","-5.5202","11.8890","25.7501","-37.7385","3.3900","1.5357","null","null","null","79.1000","2995","5.9330",531571,543521,435263,493329,514888,608324,621043,503556,545350,502210,"54.5662","null","null","0.00",1,0,0,"null",71,"3","Slider",4,5,4,5,5,4,4,5,"Standard","Standard"
